,region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_treatment_recycling_percent
152,LCN,Peru,11877.08398,50.43,3.05,2.64,21.7,7.44,10.52,Yes,Yes,Yes,Yes,30973354,182000.0,660180.1793,8356711.13,4.0
153,EAS,Philippines,7705.04541,52.31,2.34,4.22,21.52,8.7,10.55,Yes,Yes,Yes,Yes,103320224,290000.0,4332222.32,14631922.9,28.0
154,EAS,Palau,18275.02539,26.0,5.0,10.0,9.0,15.0,32.0,None,None,Yes,None,21503,200.0,212020.5,9426.7455,13.655000000000001
155,EAS,Papua New Guinea,3912.381104,31.0,4.0,3.0,42.0,16.6,10.0,None,Yes,Yes,Yes,7755785,7000.0,212020.5,1000000.0,2.0
156,ECS,Poland,33221.54297,37.27,10.07,2.17,26.69,11.27,12.13,Yes,Yes,Yes,Yes,37970872,224452.0,1679051.0,12758213.0,26.39
157,LCN,Puerto Rico,34311.03125,13.1,2.4,10.4,23.8,19.4,10.4,Yes,Yes,Yes,Yes,3473181,946.44,4.92,4170953.0,14.0
158,ECS,Portugal,34961.94531,36.49,6.73,1.85,27.68,13.64,10.72,Yes,Yes,Yes,Yes,10269417,170078.0,701228.0,5268211.0,16.23
159,LCN,Paraguay,11810.42773,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,6639119,34200.0,212020.5,1818501.365,13.655000000000001
160,MEA,West Bank and Gaza,5985.683105,59.1,2.4,2.7,11.5,10.1,14.2,Yes,Yes,Yes,Yes,4046901,22500.0,62621.0,1387000.0,0.5
161,EAS,French Polynesia,60955.72656,47.0,3.0,3.0,29.0,16.0,2.0,Yes,Yes,No,No,273528,22500.0,212020.5,147000.0,39.0
162,MEA,Qatar,96261.66406,57.0,4.0,9.0,5.0,11.0,14.0,Yes,Yes,Yes,Yes,2109568,29000.0,105000.0,1000990.016,3.0
163,ECS,Romania,29983.55664,56.26,4.89,2.5,10.68,11.34,12.33,Yes,Yes,Yes,Yes,19356544,132268.0,590300.0,5419832.5,5.67
164,ECS,Russian Federation,26012.84961,28.41,16.82,1.83,19.03,19.7,14.21,Yes,Yes,Yes,Yes,143201680,1392000.0,110000000.0,60000000.0,4.5
165,SSF,Rwanda,1950.528076,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,11917508,5900.0,212020.5,4384969.0,13.655000000000001
166,MEA,Saudi Arabia,48921.23047,45.5,4.0,5.0,2.5,27.0,11.0,Yes,Yes,yes,Yes,31557144,508000.0,697000.0,16125700.58,15.0
167,SSF,Sudan,4191.823242,51.4,3.5,1.7,18.9,11.8,12.7,Yes,Yes,Yes,Yes,38647804,51000.0,212020.5,2831291.0,13.655000000000001
168,SSF,Senegal,3067.662598,12.0,2.0,2.0,68.0,5.0,9.0,No,No,Yes,Yes,15411614,15000.0,212020.5,2454059.25,13.655000000000001
169,EAS,Singapore,97341.46875,10.51,0.93,19.12,32.3,14.86,10.58,Yes,Yes,Yes,Yes,5703600,100000.0,446870.0,1870000.0,61.0
170,EAS,Solomon Islands,2596.452881,42.8,6.65,13.15,3.7,6.45,22.35,No,Yes,Yes,No,563513,400.0,212020.5,179971.9644,13.655000000000001
171,SSF,Sierra Leone,1237.630249,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,5439695,3400.0,212020.5,610222.09,13.655000000000001
172,LCN,El Salvador,7328.713379,65.0,4.0,2.0,7.0,12.0,10.0,Yes,Yes,Yes,Yes,6164626,30100.0,16465.0,1648996.18,13.655000000000001
173,ECS,San Marino,58806.19922,5.35,5.61,0.9,65.56,13.21,5.6,Yes,Yes,Yes,Yes,33203,22500.0,212020.5,17174.68,45.05
174,SSF,Somalia,1862.614136,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,14317996,22500.0,212020.5,2326099.17,13.655000000000001
175,ECS,Serbia,18351.27344,37.62,5.44,1.38,16.72,13.57,12.73,Yes,Yes,Yes,Yes,6944975,14388.0,13475026.0,2347401.5,0.76
176,SSF,South Sudan,1795.991943,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,11177490,22500.0,212020.5,2680681.0,13.655000000000001
177,SSF,São Tomé and Príncipe,3720.786865,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,191266,200.0,212020.5,25586.5,13.655000000000001
178,LCN,Suriname,16953.80273,57.0,3.0,3.0,24.0,13.155000000000001,11.0,No,No,No,No,526103,5000.0,212020.5,78619.79915,13.655000000000001
179,ECS,Slovak Republic,31965.76172,42.0,19.0,2.0,1.0,25.0,11.0,Yes,Yes,Yes,Yes,5454073,30911.0,375688.0,2296164.75,7.62
180,ECS,Slovenia,39037.93359,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,2087946,26359.0,155229.0,1052324.75,46.44
181,ECS,Sweden,52608.71094,23.34,9.15,9.2,14.0,36.4,6.58,Yes,Yes,Yes,Yes,10285453,721671.0,2568154.0,4618168.5,32.37
182,SSF,Eswatini,8321.106445,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,1343098,5700.0,212020.5,218199.47,13.655000000000001
183,LCN,Sint Maarten (Dutch part),13465.88525,46.0,7.0,7.0,12.0,15.0,13.0,Yes,Yes,Yes,Yes,37685,22500.0,212020.5,1787400.0,13.655000000000001
184,SSF,Seychelles,23302.95313,48.5,5.2,4.6,25.8,5.9,9.9,Yes,Yes,Yes,Yes,88303,1100.0,212020.5,48000.0,13.655000000000001
185,MEA,Syrian Arab Republic,8587.050781,57.0,3.0,4.0,22.0,7.0,7.0,Yes,Yes,Yes,Yes,20824892,22500.0,68000.0,4500000.0,2.5
186,LCN,Turks and Caicos Islands,28174.48242,21.8,20.5,7.6,2.4,31.5,16.3,Yes,Yes,Yes,Yes,34900,22500.0,212020.5,1787400.0,13.655000000000001
187,SSF,Chad,1732.691284,70.0,1.0,2.0,18.0,3.0,6.0,Yes,Yes,Yes,Yes,11887202,8800.0,212020.5,1358850.53,13.655000000000001
188,SSF,Togo,1404.132935,38.0,2.0,4.0,42.0,4.0,10.0,Yes,Yes,Yes,No,7228915,6400.0,1900.0,1109030.45,2.0
189,EAS,Thailand,16301.53809,65.52,3.04,1.85,4.74,7.6,17.59,Yes,Yes,Yes,Yes,68657600,384233.0,3445000.0,26853366.0,19.1
190,ECS,Tajikistan,2616.475586,43.2,4.0,3.0,14.0,13.155000000000001,11.5,No,Yes,Yes,Yes,8177809,22500.0,212020.5,1787400.0,13.655000000000001
191,ECS,Turkmenistan,11471.18652,16.18,4.64,11.44,62.54,13.155000000000001,2.19,No,Yes,Yes,Yes,5366277,22000.0,1000.0,500000.0,13.655000000000001
192,EAS,Timor-Leste,3344.57373,43.6,5.5,10.0,9.3,10.9,16.5,Yes,Yes,Yes,Yes,1268671,3600.0,212020.5,63875.0,13.655000000000001
193,EAS,Tonga,5636.418457,51.3,5.9,9.0,8.9,7.4,13.4,Yes,Yes,Yes,Yes,104951,300.0,212020.5,17238.20175,13.655000000000001
194,LCN,Trinidad and Tobago,28910.9082,27.15,10.15,3.74,17.19,22.6,19.17,Yes,Yes,Yes,Yes,1328100,71.07,123914.1,727874.0,13.655000000000001
195,MEA,Tunisia,10505.2627,68.0,2.0,4.0,5.0,10.0,11.0,Yes,Yes,Yes,Yes,11143908,90000.0,150000.0,2700000.0,4.0
196,ECS,Turkey,28289.08789,64.0,2.0,1.0,24.0,6.0,3.0,Yes,Yes,Yes,Yes,83429616,623000.0,3432426.0,35374156.0,13.655000000000001
197,EAS,Tuvalu,3793.127686,43.6,5.5,10.0,9.3,10.9,16.5,None,Yes,Yes,None,11097,10.0,212020.5,3989.4865,15.0
198,EAS,Afghanistan,57362.92578,23.34,4.11,3.07,14.11,30.01,20.23,Yes,Yes,Yes,Yes,23434000,14036.0,212020.5,7336000.0,13.655000000000001
199,SSF,Tanzania,2128.553955,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,49082996,38000.0,212020.5,9276995.0,13.655000000000001
200,SSF,Uganda,1972.301758,74.5,0.8,0.6,10.6,6.0,7.6,Yes,Yes,Yes,Yes,35093648,25000.0,212020.5,7045049.836,6.0
201,ECS,Ukraine,11534.6377,37.0,5.0,4.0,22.0,25.0,7.0,Yes,Yes,Yes,Yes,45004644,277000.0,448000000.0,15242025.0,3.2
202,LCN,Uruguay,20588.39258,53.5,3.0,5.0,7.5,20.0,11.0,No,Yes,Yes,Yes,3431552,37000.0,212020.5,1260139.509,8.0
203,NAC,United States,61498.37109,14.9,4.4,9.0,3.2,26.6,12.9,Yes,Yes,Yes,Yes,326687488,2440000.0,28800000.0,265224528.0,34.6
204,ECS,Uzbekistan,5164.274414,40.0,3.0,2.0,17.5,17.5,2.5,No,Yes,Yes,Yes,29774500,22500.0,212020.5,4000000.0,13.655000000000001
205,LCN,St. Vincent and the Grenadines,11971.99316,49.6,5.6,3.8,10.5,22.1,8.4,Yes,Yes,Yes,No,109455,900.0,212020.5,31561.34925,13.655000000000001
206,LCN,"Venezuela, RB",14269.67383,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,No,Yes,Yes,29893080,232700.0,123157.0,9779093.14,13.655000000000001
207,LCN,British Virgin Islands,24215.88281,6.5,18.1,8.6,4.8,33.5,6.3,Yes,Yes,Yes,Yes,20645,22500.0,212020.5,21099.19,13.655000000000001
208,LCN,Virgin Islands (U.S.),30436.56445,46.0,7.0,7.0,12.0,15.0,13.0,Yes,Yes,Yes,Yes,105784,22500.0,212020.5,146500.0,13.655000000000001
209,EAS,Vietnam,5089.411133,61.9,2.18,0.58,15.18,5.2,12.15,No,Yes,Yes,Yes,86932496,141000.0,2995153.5,9570300.0,23.0
210,EAS,Vanuatu,3061.787354,73.4,5.4,3.8,5.7,4.05,6.45,Yes,Yes,Yes,Yes,270402,300.0,212020.5,70225.489,37.0
211,EAS,Samoa,6210.983398,42.6,2.2,8.8,19.4,7.2,13.0,Yes,Yes,Yes,Yes,187665,500.0,212020.5,27399.09,36.0
212,ECS,Kosovo,9723.561523,42.0,6.0,6.0,20.0,8.0,11.0,Yes,Yes,Yes,Yes,1801800,23.0,495.0,319000.0,13.655000000000001
213,MEA,"Yemen, Rep.",8269.671875,65.0,1.0,6.0,6.0,7.0,10.0,No,Yes,Yes,No,27584212,42000.0,21000.0,4836820.0,8.0
214,SSF,South Africa,12666.60742,16.38165463,5.20021637,16.9104609,45.02064557,9.396918238,7.090104302,Yes,Yes,Yes,Yes,51729344,321000.0,1319096.0,18457232.0,28.0
215,SSF,Zambia,3201.289307,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,14264756,15000.0,80000.0,2608268.0,13.655000000000001
216,SSF,Zimbabwe,3190.506592,36.0,5.0,6.0,3.0,27.0,23.0,Yes,Yes,Yes,Yes,12500525,13000.0,37346.0,1449752.0,16.0
